,user,username
6,4264422434,satyakumar_y
8,1463126252240338947,MitchellBauman
14,1235622887014400002,Left_Indy
24,20746233,pkillam
26,83904568,1047HeartFM
30,1508915949725884418,DoctorBKG
34,16462068,wjxt4
46,21558596,LifeboatHQ
54,1599807970564399110,Kingston_Truth
82,222481411,American_Bridge
85,108796231,BeckyJohnson222
104,1700153771781750784,r_dean3
110,21062311,sabhlok
115,134176993,JoyceWilliams_
118,1655734665955737600,JohnRMBR911
148,18947648,timesjournal
158,525857359,GeoffyPJohnston
202,221447352,mharris1111
205,896731633704947712,TPostMillennial
211,32598110,USBornNRaised
231,923282909309661184,ProtectOurCare
233,1715476503771656194,xx_sophhhhc
237,3191880491,Health_HIV2030
260,17532166,drklausner
262,1359098408,UKHSA_WestMids
279,1509653967260819457,JuditVlad
294,1652656455433035777,CynthiaAli95222
296,413308631,StJudeResearch
310,1368072313334300673,SANDSKI2020
323,990292214,TaiwanCulture
334,780751538973138944,Societi_UK_KD
335,32292423,beachmamax2
380,21106414,CTVMontreal
388,1961082998,HWRochdale
390,1275868332,aslimmchance
391,21657697,TheKingDude
400,267388396,FeoChin
413,18510860,MotherJones
414,1640877511696429059,neuralconsult
415,562996358,HoustonPubMedia
425,2245797112,DrVivianS
435,917416223541022720,DrNeilStone
436,16973333,Independent
438,17095956,callerdotcom
459,721795817359560704,cturnbull1968
460,1591278402769600512,pleb_citizen
461,2314087860,CPHO_Canada
471,1615717169794269185,HespressEnglish
478,3291848746,Carolin80951797
485,1210710676521570304,_measles_
493,252114970,NJDeptofHealth
508,41599242,TheExpositor
509,16955991,Salon
533,1705611812647895040,MAGALieTracker
537,1264724489851502593,bionicgirlboss
547,1299926586,Global_NB
549,1633121016,marillion13
552,18917594,foxcarolinanews
554,964609702276554752,nemo_gratis
560,3874278912,BHSUWSOC
564,24340728,vincristine
572,381685461,Jdavis_Halton
579,1218115722,PIB_Guwahati
589,1518735753249005569,Yjeep17
591,1587386429725986816,kizza901
599,19636948,CP24
622,14085099,KDKA
634,18313727,atheonews
650,2564697607,RMCarpiano
654,19188848,natashakorecki
668,1030538950979538944,ClarkHedi
672,1455903807389458436,BladeoftheS
682,1538152899397636096,ahmjus
685,307401600,bluzybiker
689,1921961029,LettersfromTim
693,833506087013867521,Citizen190
694,1144218458021908480,TMFNetworks
699,45478814,bactiman63
701,1484865335975161857,0minus_Prime
706,1600153354692444160,leezalee57
711,1268214751806599169,DarthandDogs
714,177101260,Rainmaker1973
715,1363584566724874243,ChicagoOpen
728,1863876022371848192,biggerballsjohn
741,2608570799,MauritzPreller
754,16121943,maybeawriter
768,1597747863328641024,JamieAA_Again
773,1019513539,CallTheMidwife1
