Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
TheAusToday,1,paintsandsings,1884445683232494043,@TheAusToday 3 years sentence…isn’t enough @MarkDreyfusKCMP @AusFedPolice @RogerCookMLA,1883708163914162342,Wed Jan 29 03:37:16 +0000 2025,0,0
TheAusToday,2,ausdesicompany,1883711209821938135,@TheAusToday Awesome,1883708163914162342,Mon Jan 27 02:58:44 +0000 2025,0,0
TheAusToday,3,kilberly370909,1883696516373840103,"@TheAusToday Calling BS, it was def not anti-semetic!!",1882980635477983664,Mon Jan 27 02:00:21 +0000 2025,0,0
TheAusToday,4,arshcheema82097,1883615380540964916,@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola mthrfr Sikh celebrating genocide of his own community,1883313493283393622,Sun Jan 26 20:37:57 +0000 2025,0,0
TheAusToday,5,satyabrs,1883581132559823299,@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola Sardar always gold medallist ❤❤❤,1883313493283393622,Sun Jan 26 18:21:51 +0000 2025,0,1
TheAusToday,6,CaribbeanY24655,1883572913795903930,"@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola We unite 💪 with Israel 💯 
Jai hind",1883313493283393622,Sun Jan 26 17:49:12 +0000 2025,0,0
TheAusToday,7,ANKITDOGRA89276,1883518519335412159,@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola Great,1883313493283393622,Sun Jan 26 14:13:03 +0000 2025,0,0
TheAusToday,8,vineetJindal19,1883390267157594165,@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola Jai Hind 🇮🇳,1883313493283393622,Sun Jan 26 05:43:26 +0000 2025,0,2
TheAusToday,9,Bocsta1,1883317745850441980,"@TheAusToday @cgimelbourne @HCICanberra @Pallavi_Aus @MEAIndia @DrAmitSarwal @JitarthJai @AshokShrivasta6 @missartola glad to see them celebrating

happy republic day to all Indians 

can't play cricket but we still love you",1883313493283393622,Sun Jan 26 00:55:15 +0000 2025,0,4
TheAusToday,10,paintsandsings,1883259348035785013,"@TheAusToday So sad , rest in peace Anmol Bajwa .
 Sincere condolences to your young family and friends",1881883124122165382,Sat Jan 25 21:03:12 +0000 2025,0,0
TheAusToday,11,caramelloann1,1882419247445651924,@TheAusToday @cgimelbourne @Nicholas_Reece @DrAmitSarwal @Pallavi_Aus @rishi_suri @BCCI @CricketAus @MCG @AlboMP @ShailendraBSing @AusHCIndia Hey @cityofmelbourne @Nicholas_Reece when are you paying back the $100M recovery scheme aimed at kick-starting the CBD economy post-pandemic you fraudently used to pay for events &amp; helping businesses to rollout bike lanes without seeking consultation?,1875420852986278212,Thu Jan 23 13:24:56 +0000 2025,0,0
TheAusToday,12,Ash_Ranjan_,1882292064744050749,"@TheAusToday @DrAmitSarwal @Pallavi_Aus @rishi_suri @DavidCrisafulli @CGIBrisbane @HCICanberra @AlboMP @PeterDutton_MP @AusHCIndia It's typical now. Key drivers for Indian/Hindu hate in Australia are influencers(copy from US) and misreporting/sensationalization by news agencies like noticer, etc.
PS: Previous attacks(allegedly by Khalistani) on temples without conviction do not help.",1882287722490175975,Thu Jan 23 04:59:34 +0000 2025,0,2
TheAusToday,13,jump_smash,1879966862093812040,"@TheAusToday

BADMINTON: Action from Indian Open 2025!",,Thu Jan 16 19:00:02 +0000 2025,0,0
TheAusToday,14,ShakPlays23,1878931163462631729,"@TheAusToday @DrAmitSarwal @Pallavi_Aus @rishi_suri @AlboMP @narendramodi @DrSJaishankar @AusHCIndia @AusCG_Mumbai @HCICanberra @StreetArtIndia @MumbaiPortTrust How racist is Australia 🇦🇺?

This is a push by White Australia 🇦🇺 to classify Indians 🇮🇳 as indigenous aboriginal into the White mindset. 🧐",1878930553573097948,Mon Jan 13 22:24:32 +0000 2025,0,0
TheAusToday,15,jump_smash,1876901660661788833,"@TheAusToday

BADMINTON: Prannoy on his match yesterday at Malaysia Open!

 For Badminton in Sydney see BadmintonNSW Facebook page!",,Wed Jan 08 08:00:01 +0000 2025,0,0
TheAusToday,16,sinoexport,1876866825754935376,@TheAusToday @DrAmitSarwal @Pallavi_Aus @rishi_suri @AlboMP @PeterDutton_MP @SenatorWong @JulieCollinsMP @AusEmbChina 🍺Such a beautiful post.^May your career soar to new heights.,1864453045813432534,Wed Jan 08 05:41:36 +0000 2025,0,0
