Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
TheHillEvents,1,GargMar,1885443962267132033,"@TheHillEvents All kind of drugs will affect in some degree our Nerve system. 
There was a woman complaining that she became deft after be vaccinated with COVID-19.
It says that there is a chemical ingredient in vaccines that blocked up some kind of hair nerves in the internal auditory nerve.",1885409228052992446,Fri Jan 31 21:44:05 +0000 2025,0,2
TheHillEvents,2,uk93942,1885436843899912239,@TheHillEvents No he believes in logic and the number which you and all you lying Drug cartels push out to the public.,1885409228052992446,Fri Jan 31 21:15:47 +0000 2025,0,0
TheHillEvents,3,Hokie20121207,1885423448270205240,"@TheHillEvents @thehill Also, no talking head doctor should be listened to until he/she is willing to disclose all relationships, financial or otherwise (including investments), they have with Pharma companies.",1885409228052992446,Fri Jan 31 20:22:34 +0000 2025,0,0
TheHillEvents,4,Hokie20121207,1885422725679702104,"@TheHillEvents @thehill That is an amazing claim given there was zero skepticism with the Covid vax from the medical experts on efficacy or safety. If there were, they would have demanded much more data and would have been much more transparent with the data they had and likely much more restrictive in",1885409228052992446,Fri Jan 31 20:19:41 +0000 2025,0,2
TheHillEvents,5,CampisiKyle,1885055432034836843,@TheHillEvents @thehill …. Ouch those are the representatives for health?,1885032073464799522,Thu Jan 30 20:00:12 +0000 2025,0,1
TheHillEvents,6,Brave_Recovery,1885050531611369801,@TheHillEvents @PublicHealth Nope.  Public health is a social way.  There is no one size fits all.  It's called patient bill of rights.  Thank you!,1885032073464799522,Thu Jan 30 19:40:43 +0000 2025,0,2
TheHillEvents,7,RealMormish,1885048274114986296,"@TheHillEvents ""Oh, yeah! While we ignored the issues for decades, now, when there's someone so loud that we cannot shush them, let's hijack the movement and pretend we care. Collectively.""",1885032073464799522,Thu Jan 30 19:31:45 +0000 2025,0,1
TheHillEvents,8,Weenus66,1884662425057669614,"@TheHillEvents @thehill @RepLarryBucshon Afraid of what, a decline in bribes from pharma? https://t.co/t1TWtdutmz",1884661574675423558,Wed Jan 29 17:58:32 +0000 2025,0,5
TheHillEvents,9,nicktitanmill,1884621852527444096,@TheHillEvents @thehill @RepKimSchrier How DARE anyone be permitted to question the all-knowing government!!,1884601621373403498,Wed Jan 29 15:17:18 +0000 2025,0,5
TheHillEvents,10,Chuck67902819,1884619691106463919,"@TheHillEvents @thehill @RepKimSchrier Fire the anti-vaxxer, who has no respect for others?",1884601621373403498,Wed Jan 29 15:08:43 +0000 2025,0,0
TheHillEvents,11,WilliamFGaines,1884611072755118590,"@TheHillEvents @thehill @RepKimSchrier It is #ignorant or #evil to think all vaccines have equal efficacy and need universal application.
Which is she?🧐",1884601621373403498,Wed Jan 29 14:34:28 +0000 2025,0,0
