Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
TheSpec,1,tach327,1885464911603511784,@TheSpec Let's hope it hits Washington DC.   And a fragment takes out Elon Musk.,1885463063614157209,Fri Jan 31 23:07:19 +0000 2025,0,1
TheSpec,2,wrgrenville,1885438719559168097,@TheSpec Will it be free of Tainted domestic journalism,1885025220479611365,Fri Jan 31 21:23:15 +0000 2025,0,0
TheSpec,3,tokenizer98572,1885438458715422820,@TheSpec Hamilton economy doesn't have a billion dollars. Its looks like a big encampment,1885417793777975672,Fri Jan 31 21:22:12 +0000 2025,0,2
TheSpec,4,RavynSkye1,1885418509708018104,"@TheSpec Pretending that if Canada dumps billions into protecting the US border FOR THEM will avoid tarrifs is fake.  Back home he is pitcher tarrif revenue as a way to replace income tax revenue, and abolish the IRS.  We should spend 0$ on protecting the US border.https://t.co/mbBIjGvXFm",1885417793777975672,Fri Jan 31 20:02:56 +0000 2025,0,0
TheSpec,5,Yn5Xi9PQSFcY7UU,1885415944341668045,"@TheSpec as Palestine goes, we all go.  Ongoing daily war crimes committed with our country's complicity:
https://t.co/ecmDiLAGrQ",1885401742206021868,Fri Jan 31 19:52:45 +0000 2025,0,0
TheSpec,6,Ian_Crichton,1885393179836400082,@TheSpec When you are so toxic even the Toronto Police Association won’t touch you.,1884692945984422239,Fri Jan 31 18:22:17 +0000 2025,0,0
TheSpec,7,optimusbull420,1885389761294020863,"@TheSpec hes prob going to start off with like 5-10% and ""rise with time"" means can go up to 25% . thats been my opinion on this since the first time he mentioned tarrifs on Canada.  its not going to be 25% but prob 5-10% for sure",1885100615501586509,Fri Jan 31 18:08:42 +0000 2025,0,0
TheSpec,8,Danmazz3,1885370114972721327,@TheSpec Whatever,1885321494651146750,Fri Jan 31 16:50:38 +0000 2025,0,0
TheSpec,9,Shawnski905,1885368229587009722,@TheSpec Wait longer.,1885334657547292873,Fri Jan 31 16:43:09 +0000 2025,0,1
TheSpec,10,jamesbtorontoca,1885367608142115065,"@TheSpec -Extremely sad, my condolences. However I don't think anyone, especially her family, should be waiting months for autopsy results under the circumstances. Days perhaps, but definitely not months...",1885297058359263593,Fri Jan 31 16:40:40 +0000 2025,0,2
