Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
ThinkingMunk,1,sasuke5115,1885472522944012339,"@ThinkingMunk @DestinysGnomes We're only, what? A little under 2 weeks in? God, it's gonna be a long 4 years.... or ya know.... more 😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨",1885282484549497299,Fri Jan 31 23:37:34 +0000 2025,0,2
ThinkingMunk,2,AmazinBlorb,1885451666167914923,@ThinkingMunk Pitch nothing,1885189906286137574,Fri Jan 31 22:14:41 +0000 2025,0,1
ThinkingMunk,3,traps0,1885447290900418654,"@ThinkingMunk This is literally ""911 is bad"" meme but reversed",1885404457405399462,Fri Jan 31 21:57:18 +0000 2025,0,0
ThinkingMunk,4,Russianguy321,1885443931409682678,@ThinkingMunk @JasmineForUS Elections have consequences! 😂🤣😆 DEI is DEAD! Breathe a sigh of relief. Gender ideology is DEAD! Beautiful! The adults are now running the show. Children step aside.,1885052446856077387,Fri Jan 31 21:43:57 +0000 2025,0,0
ThinkingMunk,5,KaosBerry,1885420444343324969,@ThinkingMunk I hope we see Biden out live the rest,1885282793539702924,Fri Jan 31 20:10:38 +0000 2025,0,1
ThinkingMunk,6,Cass46n2,1885414333515006355,@ThinkingMunk @JasmineForUS 😆 😂 😆 Democrats will never get control of this country ever again. Their true colors have exposed and the people are just tired of all the bullshit.  It's common sense politics we want. No tampons in men's bathrooms. Get a grip,1885052446856077387,Fri Jan 31 19:46:21 +0000 2025,0,0
ThinkingMunk,7,EasyTige7328631,1885387470511972501,@ThinkingMunk One of them is not like the others,1885282793539702924,Fri Jan 31 17:59:36 +0000 2025,0,2
ThinkingMunk,8,SheepSalva45235,1885363504774873594,"@ThinkingMunk If he goes to the site, all recovery process would halt because of secret service protocol. Is that what we want? To halt recovery? There is nothing to see there. It is underwater. He said he will meet with loved ones later away from location.",1885078610526028269,Fri Jan 31 16:24:22 +0000 2025,0,2
ThinkingMunk,9,bluzoan,1885351001110254073,@ThinkingMunk Positive posting at it's finest.,1885282793539702924,Fri Jan 31 15:34:41 +0000 2025,0,2
ThinkingMunk,10,SentientNose,1885348736584323372,@ThinkingMunk Xi feels left out from this post https://t.co/cdkguxaTAY,1885282793539702924,Fri Jan 31 15:25:41 +0000 2025,0,0
