Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
_alice_evans,1,MonkeyBadger1,1885474487337943362,@_alice_evans Absurd to wear a swimsuit in a sauna.,1885232280438005960,Fri Jan 31 23:45:22 +0000 2025,0,0
_alice_evans,2,krispykola1,1885460535719735749,@_alice_evans I like how one way of reading this tweet is that you are a millennia-old immortal scholar of theological debates,1885409583969014170,Fri Jan 31 22:49:56 +0000 2025,0,0
_alice_evans,3,PregoneroM,1885457885091512466,@_alice_evans Vance's take seems to be in the opposite direction. Is there any heresy ever that contradicts the gospel message of universal love in such a direct way? I can't think of any off the top of my head.,1885409583969014170,Fri Jan 31 22:39:24 +0000 2025,0,0
_alice_evans,4,stuarthazeldine,1885451597972414646,"@_alice_evans Great thread!  Parsing Jesus’ few words about marriage - though single, he didn’t seem as anti as Paul?  ‘A man will leave his father and mother and be joined to his wife and they shall become one flesh’ isn’t negative. And he branded Moses’ divorce permission a concession...",1885448451753705885,Fri Jan 31 22:14:25 +0000 2025,0,0
_alice_evans,5,Frances_Coppola,1885449393907654698,"@_alice_evans Many Christians still don't believe in gender equality. The Catholic Church, which has over 2 billion members worldwide, has no female priests.",1885448451753705885,Fri Jan 31 22:05:40 +0000 2025,0,2
_alice_evans,6,_alice_evans,1885448451753705885,"Both progressives and conservatives are trying to imply that there is a single, correct and ahistorical reading of the Bible 

This is just wrong. 

A hundred years ago, very few Christians believed in gender equality. 

Women were only ordained in Britain in 1994!!",1885448059250721201,Fri Jan 31 22:01:55 +0000 2025,2,16
_alice_evans,7,_alice_evans,1885448059250721201,"Yikes, I’ve just seen more commentary on this saying “we are all equal under God”.

Until 100 years ago, this was deeply contested! 

Church wedding vows stressed a bride’s obedience to husband as her superior!",1885417381784105217,Fri Jan 31 22:00:21 +0000 2025,0,10
_alice_evans,8,WengerWoke,1885435258461376527,"@_alice_evans What's wild is the tribal elders are even more backward than the Taliban. Tribal elders follow a Purer form of the Pashtunwali which doesn't allow women to inherit. While Taliban mixes Islam with Pashtunwali, Islam gets privilege in any contradictions so women can inherit.",1884970769936973880,Fri Jan 31 21:09:29 +0000 2025,0,2
_alice_evans,9,_alice_evans,1885417381784105217,"For more on this, read my essay about the cultural evolution of the Catholic church &amp; marital love!

🫶

https://t.co/DBzQrddjmz https://t.co/nIRJP8yjZ7",1885416103502917732,Fri Jan 31 19:58:27 +0000 2025,0,6
_alice_evans,10,_alice_evans,1885416103502917732,"Culture isn't a fossil, it's a fist-fight!

Each society has a unique cultural inheritance, with progressives &amp; conservatives tussling for dominance.

They seek to claim their own values are true &amp; legitimate

BUT IT IS A BATTLE OF PERSUASION!",1885415628162359744,Fri Jan 31 19:53:23 +0000 2025,0,10
_alice_evans,11,_alice_evans,1885415628162359744,"English medieval churches have wooden porches - marking them distinct from the main stone church. 

These architectural features marked the HOTLY CONTESTED &amp; gradual incorporation of marriage into the Church's sacred framework.

HOTLY CONTESTED, MY FRIENDS! https://t.co/qfhRWZbCrt",1885415210153869425,Fri Jan 31 19:51:29 +0000 2025,0,10
_alice_evans,12,_alice_evans,1885415210153869425,"In 1547, the Council of Trent formally declared that marriage was one of seven essential sacraments, conferring divine grace just like baptism or communion. 

Yet unlike other sacraments, couples took an active role in their own vows, with priests merely witnessing and blessing.",1885415104151163178,Fri Jan 31 19:49:50 +0000 2025,0,11
_alice_evans,13,_alice_evans,1885415104151163178,"But other Christian sects rejected this!!!

12th century radical religious groups like the Cathars declared all marriage evil and all sexuality sinful 

- claiming sex with your wife was no different than with a concubine",1885414939533205674,Fri Jan 31 19:49:24 +0000 2025,0,9
_alice_evans,14,_alice_evans,1885414939533205674,"Thomas Aquinas went further in the 13th century, arguing that “a man loves his wife principally by reason of the carnal meeting.” 

In his view, a nuclear home and fantastic sex would enable “maximum friendship”. 

The key concept was “adunatio” (becoming united).

MORE DEBATES",1885414817357250813,Fri Jan 31 19:48:45 +0000 2025,1,11
_alice_evans,15,_alice_evans,1885414817357250813,"From the 11th century, Western canon lawyers ‘revived’ Saint Paul's concept of the ‘marital debt’   

- husbands and wives owed each other sexual fulfillment.  

Over a thousand years after Christ's death, they were still debating family loyalty!!",1885414587006075231,Fri Jan 31 19:48:16 +0000 2025,0,11
_alice_evans,16,_alice_evans,1885414587006075231,"Medieval Canon lawyers resolved the massive conundrum about marriage by locating its sacred moment not in the wedding night but in mutual consent.

That was a cultural innovation! 

It had to be debated and agreed upon.

NOT SET IN STONE.",1885414226967355581,Fri Jan 31 19:47:21 +0000 2025,0,13
