Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
abc3340,1,Arturobienbrito,1885469603289006366,"@abc3340 @TPASarah First San Antonio, now naval academy. They’re focusing on small unimportant targets. Very asymmetric. Tactical forces unit will be a while.",1885467341338661257,Fri Jan 31 23:25:58 +0000 2025,0,5
abc3340,2,DinerOpinion,1885453688841380014,@abc3340 if Biden fired all the FBI agents who investigated his son the GOP would lose their minds. Now they’re dead silent,1885434640258785358,Fri Jan 31 22:22:44 +0000 2025,0,2
abc3340,3,enkidomc,1885452074239803696,@abc3340 Getting right to the dictator shit. This is the stupidest societal collapse in human history.,1885434640258785358,Fri Jan 31 22:16:19 +0000 2025,0,0
abc3340,4,LarrySt93989281,1885450655956881587,@abc3340 And do what?,1885417846999585152,Fri Jan 31 22:10:41 +0000 2025,0,0
abc3340,5,LarrySt93989281,1885449246888865993,"@abc3340 Revenge, pure and simple!",1885434640258785358,Fri Jan 31 22:05:05 +0000 2025,0,1
abc3340,6,enkidomc,1885445105756131371,"@abc3340 Suspected, alleged, and “gang members”. Who decided they were gang members?",1885432951141269809,Fri Jan 31 21:48:37 +0000 2025,0,0
abc3340,7,jslinky,1885436086882635871,@abc3340 🤔 it’s like other peeps weren’t even trying… https://t.co/hMMWrGrYaM,1885432951141269809,Fri Jan 31 21:12:47 +0000 2025,0,1
abc3340,8,JayLan10001,1885434961441755167,"@abc3340 If the effort and resources spent on DEI hiring had been spent to hire more qualified candidates, maybe they would not have been undermanned and the tragedy may not have happened.",1885016291523624986,Fri Jan 31 21:08:19 +0000 2025,0,0
abc3340,9,kingbammer25,1885433443082748382,@abc3340 Why are Liberals mad about this?,1885432951141269809,Fri Jan 31 21:02:17 +0000 2025,0,2
abc3340,10,crime_alley,1885421262228377835,"@abc3340 Yeah, him worrying about email signatures sounds like a good use of his time. Almost pathetic as those cheering on this rube rousing drivel.",1885402749044396213,Fri Jan 31 20:13:53 +0000 2025,0,0
abc3340,11,stacye38121,1885414837796147670,@abc3340 It's so nice to have actual adults and common sense back in office.,1885402749044396213,Fri Jan 31 19:48:21 +0000 2025,0,3
abc3340,12,stacye38121,1885386264775446685,"@abc3340 If you came to the US illegally you are a criminal.

The end.",1885357625912537332,Fri Jan 31 17:54:48 +0000 2025,0,0
abc3340,13,debidiamonds,1885375495346545013,@abc3340 Didn’t president Biden and president Obama also deport? I think this is being turned into a reality show with trump. All the media yammering on about it now but nary a word before. What are we being distracted from this time?,1885357625912537332,Fri Jan 31 17:12:01 +0000 2025,0,0
abc3340,14,JJsamerica22,1885344862528028845,@abc3340 Yep… he used the same logic that the DEI advocates used to promote its existence…. FEELINGS!,1885016291523624986,Fri Jan 31 15:10:17 +0000 2025,0,0
abc3340,15,kellyjohnsonhas,1885330268774445538,@abc3340 Sinclair News source!!! Despicable!!!,1885327320350707975,Fri Jan 31 14:12:18 +0000 2025,0,0
abc3340,16,lowens1975,1885307622552674428,@abc3340 Why don’t some of these big churches that don’t pay taxes pay these kid’s tuition?,1885297030387396619,Fri Jan 31 12:42:19 +0000 2025,0,0
abc3340,17,lowens1975,1885280816013496573,@abc3340 He has to store the somewhere. I’m not paying for a stay at the Hilton with room service until their countries figure out they are going to take them back.,1885127107581215094,Fri Jan 31 10:55:48 +0000 2025,0,0
abc3340,18,UFORobbi,1885221619859099722,@abc3340 Our whole country has been a tried and failed example of what happens when you go woke.,1885016291523624986,Fri Jan 31 07:00:34 +0000 2025,0,0
abc3340,19,BillBra18758297,1885174330323058823,"@abc3340 About time.
Get them out and off our streets.",1884867897022968166,Fri Jan 31 03:52:39 +0000 2025,0,0
abc3340,20,BillBra18758297,1885171894451921017,"@abc3340 He rightfully said it COULD be the issue.
Can you not see something wrong with what happened?
As he read to you, the FAA has said their hiring priorities are to hire people who are blind, deaf, mental disorders, epilepsy.....
Is this what is important to you when boarding a",1885016291523624986,Fri Jan 31 03:42:59 +0000 2025,0,0
abc3340,21,CristiLeMay,1885169800248275105,@abc3340 Making Daylight Saving Time permanent would make it safer for people driving home from work.,1884687311322923449,Fri Jan 31 03:34:39 +0000 2025,0,0
abc3340,22,Caseyds256,1885138676557959361,@abc3340 Sounds like she deserved it to me,1884752138057691332,Fri Jan 31 01:30:59 +0000 2025,0,0
abc3340,23,Simsdw50,1885133761597084088,@abc3340 Someone stick a straight pin in his ass every time he nods,1885130593693802692,Fri Jan 31 01:11:27 +0000 2025,0,0
abc3340,24,stacye38121,1885066404053016863,@abc3340 Awesome.,1884867897022968166,Thu Jan 30 20:43:48 +0000 2025,0,1
abc3340,25,stacye38121,1885066142399541315,@abc3340 He should've paid him much more.,1884889324270833756,Thu Jan 30 20:42:45 +0000 2025,0,0
abc3340,26,stacye38121,1885065108734214247,"@abc3340 Prayers for these families, first responders, and Secretary Duffy.",1885061693648036351,Thu Jan 30 20:38:39 +0000 2025,0,0
abc3340,27,mikehmsu84,1885033818337243167,"@abc3340 https://t.co/H8TuNAja3Q

This checks all the necessary boxes to not having this happen… thanks Chris.",1884752138057691332,Thu Jan 30 18:34:19 +0000 2025,0,0
abc3340,28,JW_7175,1885029165465792551,@abc3340 Lighting is beneficial. Another that is more of an issue on state and county roads is the white lines. When meeting an oncoming vehicle at night I try to focus on the white instead of the headlights. Also if its raining those lines are hard to see if they are not maintained.,1884687311322923449,Thu Jan 30 18:15:49 +0000 2025,0,0
abc3340,29,RoseKat33472399,1885006483345002840,@abc3340 Is he sleeping with the employee he spent 20 days in Africa with?  Funny how those who promote “SOCIALISM” line their own pockets with the $$$ of people who can’t afford it.,1884845247965900917,Thu Jan 30 16:45:42 +0000 2025,0,0
abc3340,30,RITABUCHAN23996,1884968924359369151,@abc3340 He should.  They should be on the best behavior while in OUR country. Otherwise they should go to school at home.,1884867897022968166,Thu Jan 30 14:16:27 +0000 2025,0,1
